player_id,prefered_teammates,offensive_score,defensive_score,offensive_willigness,defensive_willigness
1,"[4,6,8]",8,7,8,8
2,"[3,1,5]",5,5,7,8
3,"[15,12,14,19]",7,4,8,5
4,"[19,18,15,2]",9,5,8,5
5,"[7,8,2]",6,5,8,7
6,"[10,11,12]",6,6,8,8
7,"[14,15,16]",4,5,7,7
8,"[16,2,9]",6,7,6,8
9,"[11,10,8]",6,4,7,7
10,"[10,19,18]",6,9,9,5
11,"[13,12,8]",7,4,5,5
12,"[7,15,16]",6,5,7,7
13,"[19,14,16]",4,5,8,6
14,"[18,15,3]",4,4,8,8
15,"[1,2,3]",3,3,8,4
16,"[6,2,3]",4,4,6,8
17,"[18,13,11]",6,5,8,8
18,"[11,19,12]",7,6,9,3
19,"[18,11,13]",5,7,4,9
